name,salary_from,salary_to,salary_currency,area_name,published_at
ИТ-специалист,6000000,8000000,UZS,Ташкент,2022-12-19T01:08:00+0300
Дизайнер-декоратор по шторам,55000,100000,RUR,Южно-Сахалинск,2022-12-19T01:26:31+0300
Маркетолог-аналитик,60000,60000,RUR,Хабаровск,2022-12-19T02:23:17+0300
Механик по обслуживанию пищевого оборудования,50000,65000,RUR,Владивосток,2022-12-19T02:34:24+0300
Сервисный специалист Дата-Центра,120000,,RUR,Красноярск,2022-12-19T03:38:13+0300
Технический специалист/системный администратор,60000,75000,RUR,Новосибирск,2022-12-19T03:10:03+0300
Токарь-универсал,,60000,RUR,Барнаул,2022-12-19T03:33:57+0300
Журналист в военно-историческое издание,45000,,RUR,Владивосток,2022-12-19T03:37:48+0300
Токарь-расточник,35000,50000,RUR,Барнаул,2022-12-19T03:33:57+0300
Токарь 1К62,50000,60000,RUR,Барнаул,2022-12-19T03:33:57+0300
Зуборезчик,30000,,RUR,Барнаул,2022-12-19T03:33:58+0300
Фрезеровщик,35000,50000,RUR,Барнаул,2022-12-19T03:33:58+0300
Токарь-карусельщик,40000,,RUR,Барнаул,2022-12-19T03:33:57+0300
Оператор станков с ЧПУ,30000,,RUR,Барнаул,2022-12-19T03:33:58+0300
Старший оператор гибочного станка (р.п. Маркова),100000,,RUR,Иркутск,2022-12-19T03:51:15+0300
Инженер 1 категории участка системного администрирования и защиты информации,40000,,RUR,Чита,2022-12-19T03:11:42+0300
Токарь на ДИП,30000,50000,RUR,Барнаул,2022-12-19T03:33:57+0300
Fullstack web-программист,150000,180000,RUR,Владивосток,2022-12-19T03:37:14+0300
Ведущий сетевой инженер,82000,82000,RUR,Владивосток,2022-12-19T03:26:22+0300
Web-программист (Junior),30000,45000,RUR,Барнаул,2022-12-19T04:57:46+0300
Программист-разработчик,50000,,RUR,Владивосток,2022-12-19T04:31:27+0300
Главный редактор в СМИ (Владивосток),80000,120000,RUR,Владивосток,2022-12-19T04:21:07+0300
Продакт-менеджер,120000,200000,RUR,Владивосток,2022-12-19T04:45:01+0300
Продакт-менеджер,120000,200000,RUR,Хабаровск,2022-12-19T04:45:01+0300
Механик-наладчик технологического оборудования,45000,,RUR,Кемерово,2022-12-19T04:16:16+0300
Токарь,50000,120000,RUR,Омск,2022-12-19T04:02:27+0300
Инженер-программист,,35000,RUR,Барнаул,2022-12-19T04:28:43+0300
Наладчик станков и манипуляторов с ЧПУ,60000,,RUR,Барнаул,2022-12-19T04:29:10+0300
Токарь-карусельщик,45000,,RUR,Омск,2022-12-19T04:49:33+0300
Токарь-универсал,45000,,RUR,Омск,2022-12-19T04:49:38+0300
Системный инженер,65000,80000,RUR,Владивосток,2022-12-19T04:37:23+0300
Специалист технического сопровождения,40000,,RUR,Красноярск,2022-12-19T04:33:39+0300
Токарь-карусельщик,50000,120000,RUR,Омск,2022-12-19T04:02:44+0300
Ведущий инженер по ремонту ПК,20000,39150,RUR,Кемерово,2022-12-19T04:50:26+0300
Администратор CRM-системы Битрикс 24,30000,30000,RUR,Барнаул,2022-12-19T04:59:27+0300
Главный программист,60000,,RUR,Новосибирск,2022-12-19T04:32:53+0300
Выездной мастер по установке бытовой техники,55000,85000,RUR,Владивосток,2022-12-19T04:38:56+0300
Ведущий специалист технической поддержки,,55000,RUR,Хабаровск,2022-12-19T04:58:53+0300
Специалист сервисного центра,25000,,RUR,Улан-Удэ,2022-12-19T04:38:12+0300
Наладчик токарных станков с числовым программным управлением,40000,,RUR,Барнаул,2022-12-19T04:29:02+0300
Системный администратор,200000,300000,KZT,Алматы,2022-12-19T05:26:44+0300
Заместитель начальника отдела автоматизации и информационного взаимодействия,60000,,RUR,Красноярск,2022-12-19T05:15:37+0300
Дежурный электрослесарь КИПиА,40000,,RUR,Новосибирск,2022-12-19T05:24:15+0300
Дизайнер видео для социальных сетей/Motion designer,40000,,RUR,Москва,2022-12-19T05:05:04+0300
Оператор станков с программным управлением (4-6 разряда),49000,110000,RUR,Омск,2022-12-19T05:05:03+0300
Ведущий инженер-программист отдела автоматизации и информационного взаимодействия,45000,,RUR,Красноярск,2022-12-19T05:18:29+0300
Ученик оператора токарных станков с ЧПУ (16М30Ф3; 16А20Ф3; ТС1625Ф3; CKE6180Z; HAAS-ST-20),50000,,RUR,Томск,2022-12-19T05:56:32+0300
Монтажник систем контроля транспорта,50000,100000,RUR,Кемерово,2022-12-19T05:09:41+0300
Механик,60000,,RUR,Красноярск,2022-12-19T05:34:38+0300
Системный администратор,55000,62000,RUR,Хабаровск,2022-12-19T05:58:57+0300
Аналитик 1С,60000,80000,RUR,Екатеринбург,2022-12-19T05:19:43+0300
Оператор станков с ЧПУ (металлообработка).,50000,,RUR,Томск,2022-12-19T05:56:43+0300
Инженер-механик,,71000,RUR,Новосибирск,2022-12-19T05:18:09+0300
Сервисный инженер,53000,,RUR,Новокузнецк,2022-12-19T05:34:09+0300
Консультант 1С,30000,40000,RUR,Иркутск,2022-12-19T05:09:50+0300
Токарь 3-4 разряд,40000,,RUR,Новокузнецк,2022-12-19T05:34:08+0300
Специалист по информационной безопасности,45000,70000,RUR,Красноярск,2022-12-19T05:30:50+0300
Механик,,36000,RUR,Кемерово,2022-12-19T05:35:10+0300
"Токарь – карусельщик (5,6 разряд).",31000,65000,RUR,Омск,2022-12-19T05:05:07+0300
Оператор станков с ЧПУ 5 разряда (фрезерный обрабатывающий центр) возможна работа по ГПХ,75000,90000,RUR,Новокузнецк,2022-12-19T05:34:08+0300
Оператор / наладчик токарных станков с ЧПУ (16М30Ф3; Ф3; CKE6180Z; Haas ST-30; Haas ST-20.0),50000,,RUR,Томск,2022-12-19T05:56:47+0300
Оператор станков с ЧПУ 4 разряда,63000,,RUR,Новокузнецк,2022-12-19T05:34:08+0300
Инженер по подключению и сопровождению корпоративных клиентов,73000,,RUR,Новый Уренгой,2022-12-19T05:17:25+0300
Помощник программиста 1С (стажер),50000,,RUR,Екатеринбург,2022-12-19T06:53:07+0300
Графический дизайнер,250000,400000,KZT,Алматы,2022-12-19T06:26:13+0300
Стажер-программист 1С,50000,,RUR,Иркутск,2022-12-19T06:51:58+0300
Техник АСУ,80000,,RUR,Сургут,2022-12-19T06:23:57+0300
Программист 1С,220000,,RUR,Барнаул,2022-12-19T06:10:04+0300
Фрезеровщик,100000,,RUR,Нижний Тагил,2022-12-19T06:33:54+0300
Техник ИТ,60000,,RUR,Сургут,2022-12-19T06:23:57+0300
Системный администратор,55000,55000,RUR,Екатеринбург,2022-12-19T06:23:46+0300
"Инженер-консультант по направлению ""Ремонт и обслуживание механического оборудования""",50000,,RUR,Екатеринбург,2022-12-19T06:24:35+0300
Программист-разработчик (Junior Ruby on Rails Developer),700,1500,USD,Бишкек,2022-12-19T06:44:15+0300
Руководитель отдела ИТ,100000,,RUR,Омск,2022-12-19T06:39:00+0300
Системный администратор,60000,,RUR,Хабаровск,2022-12-19T06:58:09+0300
Инженер по обслуживанию оборудования,80000,,RUR,Нижний Тагил,2022-12-19T06:23:37+0300
